tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-717,Orlando,Clay,32,A,20000501,1,102179,,,Antony Dupuis,R,185,FRA,27.18138261,113,351,102776,1,,Andrew Ilie,R,180,AUS,24.03559206,50,762,3-6 7-6(6) 7-6(4),3,R32,162,8,1,126,76,56,29,16,14,15,13,4,110,59,49,31,17,4,4
2000-717,Orlando,Clay,32,A,20000501,2,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,102821,,WC,Cecil Mamiit,R,173,PHI,23.84394251,139,280,6-2 7-5,3,R32,86,4,2,67,35,25,16,10,4,6,0,0,57,24,13,17,10,4,9
2000-717,Orlando,Clay,32,A,20000501,3,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,102205,,,Sebastien Lareau,R,183,CAN,27.01163587,133,293,6-1 6-3,3,R32,64,4,1,46,29,23,11,8,0,0,2,2,65,39,22,10,8,6,10
2000-717,Orlando,Clay,32,A,20000501,4,101733,,,Jan Siemerink,L,183,NED,30.04791239,107,371,102925,8,,Justin Gimelstob,R,196,USA,23.26078029,95,408,4-6 6-2 7-5,3,R32,150,8,6,109,56,43,21,15,9,12,4,6,104,57,35,24,15,6,11
2000-717,Orlando,Clay,32,A,20000501,5,101727,4,,Jason Stoltenberg,R,185,AUS,30.0752909,74,543,101826,,,Alex Lopez Moron,R,175,ESP,29.42368241,111,357,6-1 6-4,3,R32,60,3,0,50,27,22,16,9,1,1,0,3,47,28,17,10,8,3,6
