tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-717,Orlando,Clay,32,A,20000501,1,102179,,,Antony Dupuis,R,185,FRA,27.18138261,113,351,102776,1,,Andrew Ilie,R,180,AUS,24.03559206,50,762,3-6 7-6(6) 7-6(4),3,R32,162,8,1,126,76,56,29,16,14,15,13,4,110,59,49,31,17,4,4
2000-717,Orlando,Clay,32,A,20000501,2,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,102821,,WC,Cecil Mamiit,R,173,PHI,23.84394251,139,280,6-2 7-5,3,R32,86,4,2,67,35,25,16,10,4,6,0,0,57,24,13,17,10,4,9
2000-717,Orlando,Clay,32,A,20000501,3,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,102205,,,Sebastien Lareau,R,183,CAN,27.01163587,133,293,6-1 6-3,3,R32,64,4,1,46,29,23,11,8,0,0,2,2,65,39,22,10,8,6,10
2000-717,Orlando,Clay,32,A,20000501,4,101733,,,Jan Siemerink,L,183,NED,30.04791239,107,371,102925,8,,Justin Gimelstob,R,196,USA,23.26078029,95,408,4-6 6-2 7-5,3,R32,150,8,6,109,56,43,21,15,9,12,4,6,104,57,35,24,15,6,11
2000-717,Orlando,Clay,32,A,20000501,5,101727,4,,Jason Stoltenberg,R,185,AUS,30.0752909,74,543,101826,,,Alex Lopez Moron,R,175,ESP,29.42368241,111,357,6-1 6-4,3,R32,60,3,0,50,27,22,16,9,1,1,0,3,47,28,17,10,8,3,6
2000-717,Orlando,Clay,32,A,20000501,6,103181,,,Jiri Vanek,R,185,CZE,22.02053388,92,429,101885,,,Wayne Arthurs,L,190,AUS,29.12251882,102,381,6-7(2) 6-4 6-3,3,R32,115,9,4,95,60,43,26,16,5,6,11,8,94,48,31,29,15,6,9
2000-717,Orlando,Clay,32,A,20000501,7,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,102455,,,Lorenzo Manta,R,190,SUI,25.62354552,112,356,6-7(7) 7-6(2) 7-6(3),3,R32,171,4,11,148,65,54,43,18,9,12,5,5,126,70,45,36,18,3,6
2000-717,Orlando,Clay,32,A,20000501,8,102834,5,,Paul Goldstein,R,178,USA,23.73990418,79,516,101086,,,Ronald Agenor,R,180,USA,35.46338125,91,430,6-2 6-1,3,R32,66,1,1,42,23,19,13,8,0,0,0,0,42,25,9,10,7,3,7
2000-717,Orlando,Clay,32,A,20000501,9,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,102133,,,Laurence Tieleman,R,180,ITA,27.46064339,97,404,6-2 6-3,3,R32,63,2,2,49,30,26,10,9,3,4,2,3,47,25,13,10,8,3,7
2000-717,Orlando,Clay,32,A,20000501,10,102466,,,Jan Kroslak,R,188,SVK,25.53867214,125,315,102966,,,Fredrik Jonsson,R,193,SWE,23.09377139,117,342,6-1 3-6 7-6(4),3,R32,123,7,2,83,55,42,14,14,3,6,3,2,102,62,43,14,14,9,13
2000-717,Orlando,Clay,32,A,20000501,11,103188,,WC,Michael Russell,R,173,USA,22.00136893,165,221,103204,,WC,Hugo Armando,R,183,USA,21.9301848,239,138,6-4 6-2,3,R32,76,1,4,56,36,26,11,9,2,3,2,1,52,27,16,12,9,0,4
2000-717,Orlando,Clay,32,A,20000501,12,101150,3,,Gianluca Pozzi,L,180,ITA,34.87200548,72,550,102880,,,Alexander Popp,R,201,GER,23.4880219,105,378,6-3 6-2,3,R32,69,1,3,56,26,20,18,9,3,4,2,2,52,35,18,8,8,3,7
2000-717,Orlando,Clay,32,A,20000501,13,103009,,Q,Razvan Sabau,R,185,ROU,22.86926762,205,160,102987,7,,Andre Sa,R,185,BRA,22.98699521,85,477,6-3 7-5,3,R32,98,4,1,69,50,37,9,11,4,5,3,5,74,32,23,18,10,7,10
2000-717,Orlando,Clay,32,A,20000501,14,103082,,,Markus Hantschk,R,188,GER,22.4476386,100,385,102720,,,Tomas Zib,R,178,CZE,24.24914442,110,363,4-6 6-4 6-4,3,R32,149,7,0,98,67,48,14,15,7,10,4,0,96,67,43,13,15,7,11
2000-717,Orlando,Clay,32,A,20000501,15,103598,,Q,Xavier Malisse,R,185,BEL,19.78370979,148,253,102233,,,Leander Paes,R,178,IND,26.87200548,138,282,6-3 6-2,3,R32,52,0,0,43,37,29,4,8,3,3,3,5,52,30,21,5,9,1,5
2000-717,Orlando,Clay,32,A,20000501,16,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,102998,2,,Jan Michael Gambill,R,190,USA,22.91033539,67,588,5-7 7-5 6-4,3,R32,144,5,3,106,66,52,17,17,1,4,15,5,112,59,47,22,17,8,12
2000-717,Orlando,Clay,32,A,20000501,17,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,102179,,,Antony Dupuis,R,185,FRA,27.18138261,113,351,7-5 7-6(4),3,R16,112,3,7,74,39,29,18,12,3,6,3,1,93,59,34,17,12,6,10
2000-717,Orlando,Clay,32,A,20000501,18,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,101733,,,Jan Siemerink,L,183,NED,30.04791239,107,371,7-5 6-3,3,R16,76,2,4,59,33,23,15,10,2,3,8,3,64,40,28,10,11,4,8
2000-717,Orlando,Clay,32,A,20000501,19,103181,,,Jiri Vanek,R,185,CZE,22.02053388,92,429,101727,4,,Jason Stoltenberg,R,185,AUS,30.0752909,74,543,7-6(6) 4-6 6-4,3,R16,151,3,2,110,66,49,20,16,5,8,13,3,113,66,50,22,16,9,12
2000-717,Orlando,Clay,32,A,20000501,20,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,102834,5,,Paul Goldstein,R,178,USA,23.73990418,79,516,6-2 6-4,3,R16,68,9,1,43,25,20,10,9,0,2,1,3,57,39,21,6,9,1,6
2000-717,Orlando,Clay,32,A,20000501,21,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,102466,,,Jan Kroslak,R,188,SVK,25.53867214,125,315,6-4 6-2,3,R16,72,7,0,48,34,28,9,9,0,0,3,3,63,38,24,12,9,5,8
2000-717,Orlando,Clay,32,A,20000501,22,101150,3,,Gianluca Pozzi,L,180,ITA,34.87200548,72,550,103188,,WC,Michael Russell,R,173,USA,22.00136893,165,221,6-7(4) 6-2 6-0,3,R16,135,5,1,80,39,33,27,13,3,3,1,2,94,68,39,14,13,8,13
2000-717,Orlando,Clay,32,A,20000501,23,103082,,,Markus Hantschk,R,188,GER,22.4476386,100,385,103009,,Q,Razvan Sabau,R,185,ROU,22.86926762,205,160,3-6 7-5 6-3,3,R16,136,12,4,92,59,47,12,15,2,4,7,2,96,64,44,16,15,7,10
2000-717,Orlando,Clay,32,A,20000501,24,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,103598,,Q,Xavier Malisse,R,185,BEL,19.78370979,148,253,7-5 6-4,3,R16,83,7,0,63,39,26,15,11,2,4,2,3,73,35,23,17,11,5,9
2000-717,Orlando,Clay,32,A,20000501,25,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,6-3 6-3,3,QF,67,4,4,52,36,27,9,9,4,5,5,3,58,33,22,9,9,2,6
2000-717,Orlando,Clay,32,A,20000501,26,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,103181,,,Jiri Vanek,R,185,CZE,22.02053388,92,429,6-3 7-5,3,QF,85,13,2,65,37,34,12,11,2,3,0,3,62,35,23,12,10,0,3
2000-717,Orlando,Clay,32,A,20000501,27,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,101150,3,,Gianluca Pozzi,L,180,ITA,34.87200548,72,550,2-6 6-2 6-2,3,QF,120,1,1,73,43,31,17,12,4,6,2,1,76,38,27,15,12,2,6
2000-717,Orlando,Clay,32,A,20000501,28,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,103082,,,Markus Hantschk,R,188,GER,22.4476386,100,385,7-5 6-4,3,QF,92,5,0,56,33,26,14,11,0,2,1,2,72,49,30,10,11,6,10
2000-717,Orlando,Clay,32,A,20000501,29,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,6-0 3-6 7-5,3,SF,115,5,7,78,40,32,22,13,4,5,6,9,100,64,43,15,14,4,8
2000-717,Orlando,Clay,32,A,20000501,30,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,6-4 6-4,3,SF,91,4,1,53,28,22,10,10,0,3,4,1,62,34,16,16,10,3,8
2000-717,Orlando,Clay,32,A,20000501,31,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,6-2 6-3,3,F,78,7,8,56,29,25,12,8,0,0,5,3,57,36,21,8,9,6,10
2000-409,Atlanta,Clay,32,A,20000410,1,101736,1,,Andre Agassi,R,180,USA,29.94934976,1,5059,103598,,Q,Xavier Malisse,R,185,BEL,19.72621492,151,244,6-3 6-4,3,R32,71,3,4,53,31,23,9,9,1,3,3,4,73,37,21,15,10,7,12
2000-409,Atlanta,Clay,32,A,20000410,2,103181,,,Jiri Vanek,R,185,CZE,21.96303901,101,393,102925,,,Justin Gimelstob,R,196,USA,23.20328542,94,426,7-5 6-4,3,R32,93,5,1,70,35,25,17,11,5,7,4,3,77,45,30,12,11,6,10
2000-409,Atlanta,Clay,32,A,20000410,3,103420,,,Michal Tabara,R,175,CZE,20.66529774,117,336,101320,,,Magnus Gustafsson,R,185,SWE,33.26762491,82,522,6-2 6-1,3,R32,54,0,0,39,14,11,19,7,3,3,2,9,57,28,17,9,8,6,11
2000-409,Atlanta,Clay,32,A,20000410,4,101543,7,,Jeff Tarango,L,180,USA,31.38672142,74,555,102987,,,Andre Sa,R,185,BRA,22.92950034,88,450,6-2 6-1,3,R32,49,6,1,58,31,25,12,8,5,6,1,3,35,21,8,5,7,3,8
2000-409,Atlanta,Clay,32,A,20000410,5,101723,3,,Magnus Larsson,R,193,SWE,30.04517454,36,891,102104,,,Christian Ruud,R,188,NOR,27.62765229,96,423,6-1 6-4,3,R32,79,4,2,75,46,29,17,9,7,8,2,4,51,34,21,4,8,5,9
2000-409,Atlanta,Clay,32,A,20000410,6,101727,,,Jason Stoltenberg,R,185,AUS,30.01779603,92,437,102966,,,Fredrik Jonsson,R,193,SWE,23.03627652,115,338,6-1 6-1,3,R32,59,4,0,38,18,15,14,7,0,0,0,4,48,20,11,10,7,10,15
2000-409,Atlanta,Clay,32,A,20000410,7,103454,,,Nicolas Massu,R,183,CHI,20.50102669,89,447,102872,,,James Sekulov,R,180,AUS,23.49075975,127,321,6-4 6-1,3,R32,67,3,1,40,19,17,14,8,2,3,2,0,53,29,13,12,9,4,9
2000-409,Atlanta,Clay,32,A,20000410,8,102227,6,,Sargis Sargsian,R,180,ARM,26.85284052,57,699,102558,,Q,Eric Taino,L,175,PHI,25.06502396,374,69,6-0 6-2,3,R32,65,2,0,47,36,26,7,7,2,2,1,1,54,32,17,6,7,2,7
2000-409,Atlanta,Clay,32,A,20000410,9,102162,5,,Chris Woodruff,R,188,USA,27.26899384,43,796,102911,,,Andrei Stoliarov,R,178,RUS,23.24982888,123,328,6-3 7-5,3,R32,90,8,2,57,34,27,8,11,4,7,7,7,81,40,25,16,10,9,14
2000-409,Atlanta,Clay,32,A,20000410,10,101889,,WC,Todd Woodbridge,R,178,AUS,29.02395619,168,215,101086,,,Ronald Agenor,R,180,USA,35.40588638,93,430,7-6(3) 6-4,3,R32,93,2,4,71,50,34,11,11,4,7,1,2,68,53,32,6,11,4,8
2000-409,Atlanta,Clay,32,A,20000410,11,103031,,,Julian Alonso,R,185,ESP,22.68856947,125,325,103240,,Q,Kevin Kim,R,180,USA,21.70841889,188,187,4-6 6-0 6-3,3,R32,98,3,1,87,53,36,18,13,5,7,3,2,65,39,22,12,12,1,6
2000-409,Atlanta,Clay,32,A,20000410,12,102021,4,,Michael Chang,R,175,USA,28.13141684,37,879,102106,,,Davide Sanguinetti,R,188,ITA,27.62491444,106,380,7-5 6-3,3,R32,88,1,4,69,35,27,21,11,2,2,2,2,57,28,20,17,10,2,4
2000-409,Atlanta,Clay,32,A,20000410,13,102776,8,,Andrew Ilie,R,180,AUS,23.97809719,79,535,102720,,,Tomas Zib,R,178,CZE,24.19164956,105,388,6-4 6-2,3,R32,76,7,3,61,28,24,16,9,0,1,1,3,67,42,26,10,9,7,11
2000-409,Atlanta,Clay,32,A,20000410,14,101902,,,Stephane Huet,L,180,FRA,28.96098563,120,332,103188,,Q,Michael Russell,R,173,USA,21.94387406,170,209,5-7 6-2 6-4,3,R32,136,4,1,95,47,31,25,15,6,10,4,7,108,71,42,16,15,11,17
2000-409,Atlanta,Clay,32,A,20000410,15,102834,,,Paul Goldstein,R,178,USA,23.68240931,84,514,103834,,WC,Levar Harper Griffith,R,,USA,18.5982204,1312,1,3-6 6-4 6-4,3,R32,111,4,5,100,65,44,14,15,10,15,6,5,96,56,31,21,14,8,13
2000-409,Atlanta,Clay,32,A,20000410,16,102905,2,,Stefan Koubek,L,175,AUT,23.26899384,22,1114,102768,,,Federico Browne,R,180,ARG,24.00821355,136,300,7-5 6-0,3,R32,64,6,0,62,44,29,8,9,8,10,2,2,61,31,16,11,9,1,7
2000-409,Atlanta,Clay,32,A,20000410,18,101543,7,,Jeff Tarango,L,180,USA,31.38672142,74,555,103420,,,Michal Tabara,R,175,CZE,20.66529774,117,336,5-7 6-2 7-6(4),3,R16,144,7,7,122,71,44,27,16,7,12,3,4,124,89,52,17,16,9,15
2000-409,Atlanta,Clay,32,A,20000410,19,101727,,,Jason Stoltenberg,R,185,AUS,30.01779603,92,437,101723,3,,Magnus Larsson,R,193,SWE,30.04517454,36,891,3-6 6-4 6-4,3,R16,105,4,3,89,60,45,14,15,5,7,2,0,88,67,48,10,14,4,6
2000-409,Atlanta,Clay,32,A,20000410,20,103454,,,Nicolas Massu,R,183,CHI,20.50102669,89,447,102227,6,,Sargis Sargsian,R,180,ARM,26.85284052,57,699,6-2 6-3,3,R16,68,4,0,47,25,20,14,8,0,0,3,4,51,33,22,6,9,1,5
2000-409,Atlanta,Clay,32,A,20000410,21,102162,5,,Chris Woodruff,R,188,USA,27.26899384,43,796,101889,,WC,Todd Woodbridge,R,178,AUS,29.02395619,168,215,4-6 6-2 6-2,3,R16,93,3,5,67,49,39,7,13,0,2,2,1,70,45,25,11,13,1,6
2000-409,Atlanta,Clay,32,A,20000410,22,102021,4,,Michael Chang,R,175,USA,28.13141684,37,879,103031,,,Julian Alonso,R,185,ESP,22.68856947,125,325,7-5 6-7(3) 6-3,3,R16,148,1,1,105,52,36,26,16,3,7,5,5,108,77,48,15,17,6,13
2000-409,Atlanta,Clay,32,A,20000410,23,102776,8,,Andrew Ilie,R,180,AUS,23.97809719,79,535,101902,,,Stephane Huet,L,180,FRA,28.96098563,120,332,6-3 7-5,3,R16,83,4,5,61,22,19,19,11,2,5,2,1,65,29,19,15,10,5,10
2000-409,Atlanta,Clay,32,A,20000410,24,102905,2,,Stefan Koubek,L,175,AUT,23.26899384,22,1114,102834,,,Paul Goldstein,R,178,USA,23.68240931,84,514,6-2 3-6 6-3,3,R16,100,2,3,68,39,25,15,13,4,9,3,1,89,50,23,21,13,8,15
2000-409,Atlanta,Clay,32,A,20000410,25,101543,7,,Jeff Tarango,L,180,USA,31.38672142,74,555,103181,,,Jiri Vanek,R,185,CZE,21.96303901,101,393,7-6(3) 6-2,3,QF,71,5,6,59,33,25,14,10,1,3,5,4,75,42,27,14,10,7,11
2000-409,Atlanta,Clay,32,A,20000410,26,101727,,,Jason Stoltenberg,R,185,AUS,30.01779603,92,437,103454,,,Nicolas Massu,R,183,CHI,20.50102669,89,447,6-1 6-2,3,QF,56,8,0,45,29,25,10,8,2,2,2,1,41,22,13,9,7,2,6
2000-409,Atlanta,Clay,32,A,20000410,27,102021,4,,Michael Chang,R,175,USA,28.13141684,37,879,102162,5,,Chris Woodruff,R,188,USA,27.26899384,43,796,7-6(4) 6-1,3,QF,96,3,3,55,29,21,17,9,1,2,1,5,80,49,32,9,10,9,13
2000-409,Atlanta,Clay,32,A,20000410,28,102776,8,,Andrew Ilie,R,180,AUS,23.97809719,79,535,102905,2,,Stefan Koubek,L,175,AUT,23.26899384,22,1114,7-6(3) 6-4,3,QF,93,5,5,84,40,32,25,11,4,5,6,6,86,57,39,10,11,4,6
2000-409,Atlanta,Clay,32,A,20000410,29,101727,,,Jason Stoltenberg,R,185,AUS,30.01779603,92,437,101543,7,,Jeff Tarango,L,180,USA,31.38672142,74,555,6-2 6-4,3,SF,62,7,2,50,28,23,15,9,2,2,2,2,59,35,22,13,9,5,8
2000-409,Atlanta,Clay,32,A,20000410,30,102776,8,,Andrew Ilie,R,180,AUS,23.97809719,79,535,102021,4,,Michael Chang,R,175,USA,28.13141684,37,879,6-3 1-6 6-2,3,SF,105,4,5,77,35,24,25,12,3,5,4,2,89,43,32,21,12,6,9
2000-409,Atlanta,Clay,32,A,20000410,31,102776,8,,Andrew Ilie,R,180,AUS,23.97809719,79,535,101727,,,Jason Stoltenberg,R,185,AUS,30.01779603,92,437,6-3 7-5,3,F,92,2,2,78,39,28,20,11,5,7,4,2,71,36,19,18,10,7,11
2000-408,London,Hard,32,A,20000221,1,102338,1,,Yevgeny Kafelnikov,R,190,RUS,26.00684463,3,2670,102446,,,Andrei Medvedev,R,193,UKR,25.47570157,36,933,6-3 6-4,3,R32,62,2,2,65,32,21,20,10,5,7,10,1,55,32,22,7,9,1,5
2000-408,London,Hard,32,A,20000221,2,101888,,,Daniel Vacek,R,190,CZE,28.89253936,44,790,102563,,,Thomas Johansson,R,180,SWE,24.91444216,41,851,6-3 6-2,3,R32,69,1,3,48,21,13,17,9,1,4,7,0,52,20,12,10,8,3,9
2000-408,London,Hard,32,A,20000221,3,102148,,,Fabrice Santoro,R,178,FRA,27.20054757,34,951,103498,,,Marat Safin,R,193,RUS,20.06844627,37,924,4-6 6-2 6-4,3,R32,106,3,1,75,44,33,15,14,2,6,12,5,97,36,27,26,14,5,11
2000-408,London,Hard,32,A,20000221,4,102271,8,,Hicham Arazi,L,175,MAR,26.34086242,27,1051,102998,,,Jan Michael Gambill,R,190,USA,22.71868583,60,659,6-4 7-5,3,R32,71,3,2,66,39,35,13,11,1,1,9,1,59,41,30,11,11,3,5
2000-408,London,Hard,32,A,20000221,5,103151,,,Mariano Zabaleta,R,183,ARG,21.97946612,32,998,102450,3,,Tim Henman,R,185,GBR,25.45927447,11,1543,7-6(3) 7-5,3,R32,120,4,3,105,56,38,29,12,6,6,9,3,68,31,26,23,12,1,2
2000-408,London,Hard,32,A,20000221,6,102642,,Q,Cyril Saulnier,R,190,FRA,24.5174538,163,230,102783,,,Rainer Schuettler,R,180,GER,23.82477755,53,711,6-4 6-4,3,R32,81,2,1,64,27,19,23,10,4,5,6,2,55,30,21,14,10,2,5
2000-408,London,Hard,32,A,20000221,7,102259,,,Jerome Golmard,L,188,FRA,26.45037645,43,805,103507,,,Juan Carlos Ferrero,R,183,ESP,20.02464066,26,1055,6-2 6-2,3,R32,68,4,3,48,22,18,17,8,3,3,2,4,55,24,15,13,8,4,8
2000-408,London,Hard,32,A,20000221,8,102257,5,,Greg Rusedski,L,193,GBR,26.45859001,15,1379,103096,,,Arnaud Clement,R,173,FRA,22.17932923,54,710,6-3 6-4,3,R32,68,12,2,52,30,26,10,10,0,2,2,3,53,32,18,9,9,1,5
2000-408,London,Hard,32,A,20000221,9,101611,6,,Cedric Pioline,R,188,FRA,30.68583162,10,1549,103252,,,Alberto Martin,R,175,ESP,21.50581793,50,719,7-5 7-6(5),3,R32,108,10,3,75,38,30,22,12,2,3,5,6,85,54,40,17,12,4,6
2000-408,London,Hard,32,A,20000221,10,101543,,LL,Jeff Tarango,L,180,USA,31.25256674,77,522,102035,,Q,Jonas Bjorkman,R,183,SWE,27.91512663,68,606,7-5 6-4,3,R32,80,3,2,59,29,21,24,11,0,0,4,3,63,30,22,21,11,2,4
2000-408,London,Hard,32,A,20000221,11,102344,,,Karol Kucera,R,188,SVK,25.96851472,33,990,102562,,,Jiri Novak,R,190,CZE,24.91991786,39,858,7-5 6-3,3,R32,86,9,9,85,49,37,18,11,9,10,1,2,74,52,34,8,10,6,9
2000-408,London,Hard,32,A,20000221,12,102358,4,,Thomas Enqvist,R,190,SWE,25.94387406,12,1503,102437,,Q,Adrian Voinea,R,185,ROU,25.54414784,78,511,6-1 6-4,3,R32,66,8,7,65,28,26,19,9,6,6,5,4,49,28,19,8,8,2,5
2000-408,London,Hard,32,A,20000221,13,103103,7,,Dominik Hrbaty,R,183,SVK,22.13004791,21,1125,102318,,,Andrei Pavel,R,183,ROU,26.06707734,63,629,6-4 6-3,3,R32,58,7,3,48,14,14,26,10,0,0,5,4,58,29,24,13,9,4,6
2000-408,London,Hard,32,A,20000221,14,101820,,,Marc Rosset,R,201,SUI,29.28952772,72,555,103344,,WC,Ivan Ljubicic,R,193,CRO,20.92813142,69,595,6-4 6-4,3,R32,76,7,6,57,30,25,17,10,2,3,5,1,56,27,20,14,10,1,4
2000-408,London,Hard,32,A,20000221,15,101964,,WC,Goran Ivanisevic,L,193,CRO,28.44079398,61,652,102286,,Q,Wayne Black,R,170,ZIM,26.2696783,142,267,7-5 6-2,3,R32,67,12,5,60,26,23,19,10,3,4,2,4,56,30,19,11,10,3,7
2000-408,London,Hard,32,A,20000221,16,103819,,,Roger Federer,R,185,SUI,18.53798768,66,625,103017,2,,Nicolas Kiefer,R,183,GER,22.63107461,4,2435,6-2 6-3,3,R32,62,6,1,56,33,26,12,8,5,5,2,2,49,23,13,13,9,2,6
2000-408,London,Hard,32,A,20000221,17,102338,1,,Yevgeny Kafelnikov,R,190,RUS,26.00684463,3,2670,101888,,,Daniel Vacek,R,190,CZE,28.89253936,44,790,6-2 7-5,3,R16,82,7,4,79,48,34,15,10,6,7,5,3,58,21,14,18,10,1,5
2000-408,London,Hard,32,A,20000221,18,102148,,,Fabrice Santoro,R,178,FRA,27.20054757,34,951,102271,8,,Hicham Arazi,L,175,MAR,26.34086242,27,1051,6-4 6-2,3,R16,66,3,3,57,22,18,19,9,4,5,5,4,51,25,14,11,9,1,5
2000-408,London,Hard,32,A,20000221,19,103151,,,Mariano Zabaleta,R,183,ARG,21.97946612,32,998,102642,,Q,Cyril Saulnier,R,190,FRA,24.5174538,163,230,6-4 6-1,3,R16,85,7,2,64,31,25,18,8,5,5,3,5,69,31,19,16,9,10,14
2000-408,London,Hard,32,A,20000221,20,102257,5,,Greg Rusedski,L,193,GBR,26.45859001,15,1379,102259,,,Jerome Golmard,L,188,FRA,26.45037645,43,805,7-6(5) 7-6(4),3,R16,101,7,1,78,44,38,21,12,3,4,6,5,78,38,32,22,12,1,2
2000-408,London,Hard,32,A,20000221,21,101611,6,,Cedric Pioline,R,188,FRA,30.68583162,10,1549,101543,,LL,Jeff Tarango,L,180,USA,31.25256674,77,522,6-3 6-4,3,R16,88,12,7,64,28,25,18,10,5,6,1,6,69,34,23,15,9,6,9
2000-408,London,Hard,32,A,20000221,22,102358,4,,Thomas Enqvist,R,190,SWE,25.94387406,12,1503,102344,,,Karol Kucera,R,188,SVK,25.96851472,33,990,6-3 3-6 6-4,3,R16,113,7,4,94,53,36,22,14,7,11,6,5,88,43,31,21,14,7,12
2000-408,London,Hard,32,A,20000221,23,101820,,,Marc Rosset,R,201,SUI,29.28952772,72,555,103103,7,,Dominik Hrbaty,R,183,SVK,22.13004791,21,1125,6-3 7-6(8),3,R16,92,5,9,68,31,27,19,10,1,2,2,7,74,28,18,25,11,4,7
2000-408,London,Hard,32,A,20000221,24,103819,,,Roger Federer,R,185,SUI,18.53798768,66,625,101964,,WC,Goran Ivanisevic,L,193,CRO,28.44079398,61,652,7-5 6-3,3,R16,65,6,1,63,44,31,11,10,0,1,11,5,60,27,22,12,11,3,7
2000-408,London,Hard,32,A,20000221,25,102338,1,,Yevgeny Kafelnikov,R,190,RUS,26.00684463,3,2670,102148,,,Fabrice Santoro,R,178,FRA,27.20054757,34,951,6-3 6-2,3,QF,61,2,0,54,31,28,12,9,3,3,5,2,44,19,12,13,8,0,3
2000-408,London,Hard,32,A,20000221,26,102257,5,,Greg Rusedski,L,193,GBR,26.45859001,15,1379,103151,,,Mariano Zabaleta,R,183,ARG,21.97946612,32,998,6-4 7-5,3,QF,90,4,8,68,34,28,19,11,4,5,7,3,71,36,29,14,11,3,6
2000-408,London,Hard,32,A,20000221,27,102358,4,,Thomas Enqvist,R,190,SWE,25.94387406,12,1503,101611,6,,Cedric Pioline,R,188,FRA,30.68583162,10,1549,7-6(3) 4-6 7-6(6),3,QF,157,20,7,104,50,45,30,17,4,7,21,15,155,75,64,32,17,15,17
2000-408,London,Hard,32,A,20000221,28,101820,,,Marc Rosset,R,201,SUI,29.28952772,72,555,103819,,,Roger Federer,R,185,SUI,18.53798768,66,625,3-6 6-4 6-4,3,QF,112,6,7,78,43,38,17,14,3,4,4,3,113,63,48,23,15,9,11
2000-408,London,Hard,32,A,20000221,29,102338,1,,Yevgeny Kafelnikov,R,190,RUS,26.00684463,3,2670,102257,5,,Greg Rusedski,L,193,GBR,26.45859001,15,1379,6-3 7-6(4),3,SF,74,4,4,61,32,28,20,11,0,0,9,3,68,38,27,17,10,4,5
2000-408,London,Hard,32,A,20000221,30,101820,,,Marc Rosset,R,201,SUI,29.28952772,72,555,102358,4,,Thomas Enqvist,R,190,SWE,25.94387406,12,1503,7-5 1-6 6-3,3,SF,102,14,6,84,51,44,13,14,9,11,7,8,85,41,32,24,14,6,8
2000-408,London,Hard,32,A,20000221,31,101820,,,Marc Rosset,R,201,SUI,29.28952772,72,555,102338,1,,Yevgeny Kafelnikov,R,190,RUS,26.00684463,3,2670,6-4 6-4,3,F,80,9,4,66,38,31,14,10,4,5,6,6,68,36,26,13,10,5,8
2000-560,US Open,Hard,128,G,20000828,1,101736,1,,Andre Agassi,R,180,USA,30.33264887,1,3754,103297,,WC,Alex Kim,R,175,USA,21.68925394,432,53,6-4 6-2 6-0,5,R128,89,8,4,80,50,37,16,12,2,3,3,8,90,52,30,13,12,5,12
2000-560,US Open,Hard,128,G,20000828,2,103096,,,Arnaud Clement,R,173,FRA,22.69678303,37,928,103292,,,Gaston Gaudio,R,175,ARG,21.71937029,26,1067,6-3 6-4 6-2,5,R128,105,11,5,92,58,44,16,14,2,3,5,4,84,53,34,12,13,7,12
2000-560,US Open,Hard,128,G,20000828,3,102271,,,Hicham Arazi,L,175,MAR,26.85831622,41,889,103082,,,Markus Hantschk,R,188,GER,22.77344285,92,448,6-3 6-0 4-6 6-7(3) 6-4,5,R128,214,15,3,147,87,61,28,24,8,13,7,3,167,95,58,32,23,10,19
2000-560,US Open,Hard,128,G,20000828,4,101965,,,Wayne Ferreira,R,185,RSA,28.95277207,21,1227,102776,,,Andrew Ilie,R,180,AUS,24.3613963,51,794,6-3 2-6 6-4 6-1,5,R128,116,11,3,95,49,39,19,17,5,10,7,7,103,61,41,13,17,5,13
